PID,SSN,Depth,C,N,P,K,S,Ca,Mg
KE-XwPl91,icr042134,10,22975,1636,7.2,412.0,8.0,1650.0,329.0
KE-XwPl91,icr042135,35,13812,1004,2.2,294.0,6.4,1470.0,336.0
KE-XyyJIf,icr042048,10,16672,1403,1.5,107.0,9.1,1070.0,307.0
KE-XyyJIf,icr042049,35,15144,1150,0.7,77.1,11.1,990.0,320.0
KE-y6oCI1,icr033566,10,2297,222,4.6,1145.0,23.2,3532.3,514.6
KE-y6oCI1,icr033567,35,3497,360,18.7,995.8,10.5,2689.3,451.1
KE-Y9y0vq,icr033427,10,3981,380,6.8,760.3,49.9,12278.3,802.4
KE-Y9y0vq,icr033428,35,2447,249,4.9,588.7,3077.9,12768.3,712.7
KE-yTMNy2,icr041779,10,6180,496,62.3,487.0,13.6,1700.0,338.0
KE-yTMNy2,icr041780,35,3598,365,78.5,668.0,17.1,2190.0,459.0
KE-zzN1G9,icr033545,10,4900,505,11.5,1239.0,57.1,10888.3,607.0
KE-zzN1G9,icr033546,35,4418,368,9.4,1372.0,58.9,9988.3,446.1
MG-4GVBYp,icr062134,10,19127,1819,2.7,84.2,20.6,160.0,126.0
MG-4GVBYp,icr062135,35,13241,1415,0.6,34.6,61.1,135.0,99.7
MG-5WqN56,icr076484,10,10346,762,10.8,252.0,4.8,1170.0,200.0
MG-5WqN56,icr076485,35,7136,483,7.4,228.0,2.9,1130.0,172.0
MG-60L4Ao,icr076541,10,34285,2005,2.3,222.0,5.2,702.0,215.0
MG-60L4Ao,icr076542,35,23489,1256,1.4,119.0,3.1,300.0,109.0
MG-8w8pz1,icr076364,10,4115,335,12.6,95.5,3.9,1400.0,435.0
MG-8w8pz1,icr076365,35,8137,583,9.4,118.0,3.9,1270.0,389.0
MG-aVpcpe,icr062373,10,29703,2360,5.0,73.5,27.6,135.0,73.0
MG-aVpcpe,icr062374,35,15015,1148,2.0,28.6,19.5,81.2,33.6
MG-AVS5I9,icr076601,10,50935,3213,3.5,91.5,6.9,748.0,106.0
MG-AVS5I9,icr076602,35,48074,3070,1.4,50.0,5.6,782.0,119.0
MG-bRFVjv,icr062195,10,40693,2671,6.2,51.2,39.0,77.0,50.1
MG-bRFVjv,icr062196,35,17841,1281,2.0,23.0,35.0,73.9,29.0
MG-CXa3r6,icr076522,10,16962,1167,5.5,62.2,5.1,438.0,64.9
MG-CXa3r6,icr076523,35,14395,910,1.8,35.0,3.7,262.0,44.7
MG-e3VmsC,icr062175,10,47824,2909,5.9,51.7,37.3,89.4,59.7
MG-e3VmsC,icr062176,35,27465,2038,1.8,29.8,70.5,107.0,44.8
MG-elC0QP,icr076347,10,9704,826,20.5,411.0,6.2,1520.0,491.0
MG-elC0QP,icr076348,35,6248,475,21.3,400.0,5.5,1490.0,500.0
MG-FnWXR5,icr062395,10,44153,3462,13.5,116.0,26.5,669.0,153.0
MG-FnWXR5,icr062396,35,18283,1447,2.0,46.3,34.7,163.0,55.5
MG-FzHd8N,icr076384,10,11275,662,1.2,269.0,3.1,676.0,224.0
MG-FzHd8N,icr076385,35,5323,305,0.9,181.0,3.1,1130.0,295.0
MG-gXX8dU,icr062255,10,42811,2601,2.8,48.2,48.2,91.5,35.5
MG-gXX8dU,icr062256,35,49402,3415,3.6,53.8,46.7,73.4,44.1
MG-jaOWIZ,icr062334,10,24823,2149,5.1,72.0,22.1,299.0,115.0
MG-jaOWIZ,icr062335,35,14312,1057,1.9,26.1,17.8,105.0,43.0
MG-KMqZIS,icr076502,10,31780,1957,6.1,289.0,5.3,1710.0,488.0
MG-KMqZIS,icr076503,35,21795,1292,5.8,226.0,4.0,1850.0,520.0
MG-KydEo4,icr062413,10,15950,1272,1.8,26.0,31.1,69.9,28.3
MG-KydEo4,icr062414,35,25353,1882,5.0,45.7,28.0,73.5,41.5
MG-lI8Z7s,icr076640,10,62554,4482,7.2,63.6,7.0,1130.0,182.0
MG-lI8Z7s,icr076641,35,68296,4693,6.8,58.6,7.4,1100.0,171.0
MG-m1JhYc,icr062314,10,36404,2759,8.6,69.7,32.1,129.0,100.0
MG-m1JhYc,icr062315,35,23869,1703,3.7,37.2,40.5,136.0,79.2
MG-MarDv9,icr076464,10,27865,1517,11.9,61.3,6.0,724.0,183.0
MG-MarDv9,icr076465,35,34782,1841,17.6,24.1,5.4,1290.0,201.0
MG-MYJq3p,icr076581,10,51658,3459,5.2,328.0,8.7,1160.0,174.0
MG-MYJq3p,icr076582,35,54273,3477,7.6,169.0,7.9,1590.0,180.0
MG-Na6Ab0,icr076561,10,26046,1852,2.8,501.0,4.5,2360.0,468.0
MG-Na6Ab0,icr076562,35,15374,1122,3.4,404.0,3.4,2310.0,439.0
MG-NYpYDY,icr076424,10,7693,677,3.7,124.0,4.2,1620.0,228.0
MG-NYpYDY,icr076425,35,7914,782,3.2,107.0,3.9,1610.0,211.0
MG-ojku6T,icr062294,10,36480,2015,1.9,47.7,25.6,71.2,36.6
MG-ojku6T,icr062295,35,23024,1442,0.9,21.8,29.0,81.5,25.6
MG-PPZayv,icr062433,10,49664,4185,6.5,114.0,28.5,139.0,112.0
MG-PPZayv,icr062434,35,21539,1851,1.5,29.8,39.2,74.9,34.8
MG-QihxNU,icr062155,10,25246,1865,4.4,74.5,26.6,138.0,118.0
MG-QihxNU,icr062156,35,14089,1150,1.8,35.2,22.0,104.0,87.2
MG-Qm1VNi,icr062237,10,29520,2316,5.4,59.5,17.6,596.0,216.0
MG-Qm1VNi,icr062238,35,16786,1619,2.4,28.5,18.0,292.0,144.0
MG-slj6vn,icr076621,10,67733,4076,1.4,157.0,5.4,309.0,59.5
MG-slj6vn,icr076622,35,44224,2715,0.3,80.5,3.8,148.0,30.3
MG-uOOiHE,icr062215,10,36739,2791,3.0,83.0,30.1,113.0,96.0
MG-uOOiHE,icr062216,35,29109,2226,3.2,54.6,26.5,130.0,66.2
MG-vafvKX,icr076404,10,13238,996,2.5,73.4,7.1,736.0,211.0
MG-vafvKX,icr076405,35,11389,782,3.7,30.6,8.3,618.0,172.0
MG-x6RzRl,icr076444,10,12877,798,12.5,102.0,3.5,1110.0,221.0
MG-x6RzRl,icr076445,35,11235,744,13.5,78.9,3.5,1140.0,226.0
MG-XbBsmu,icr062353,10,28264,2409,4.0,79.7,35.6,87.7,68.2
MG-XbBsmu,icr062354,35,13831,1036,0.6,26.1,80.2,76.7,36.1
MG-yjVeHo,icr062275,10,29878,2772,3.2,78.7,26.8,671.0,158.0
MG-yjVeHo,icr062276,35,14191,1203,1.1,20.1,30.1,268.0,66.0
ML-0BOkKd,icr069809,10,1958,105,2.8,37.7,1.6,310.0,82.5
ML-0BOkKd,icr069810,35,1387,80,2.0,18.3,1.6,333.0,111.0
ML-58aRmP,icr010865,10,15347,1077,3.0,233.0,9.0,1705.0,435.0
ML-58aRmP,icr010866,35,11055,1009,2.8,60.0,7.0,551.0,122.0
ML-5Xhe0Y,icr010727,10,10442,647,5.4,90.0,8.0,603.0,187.0
ML-5Xhe0Y,icr010728,35,5195,500,1.5,44.0,7.0,187.0,77.0
ML-6FYRqi,icr010747,10,6393,617,11.9,164.0,7.0,1149.0,213.0
ML-6FYRqi,icr010748,35,4415,599,13.2,162.0,12.0,1428.0,295.0
ML-6Ua9Yu,icr010335,10,6652,695,1.5,154.0,7.0,1139.0,538.0
ML-6Ua9Yu,icr010336,35,4569,675,0.4,78.0,9.0,2055.0,788.0
ML-7DnfjV,icr037646,10,7351,450,3.2,30.7,6.9,192.3,76.4
ML-7DnfjV,icr037647,35,7194,403,2.1,22.9,5.6,152.7,71.3
ML-829DXE,icr070009,10,1557,101,2.0,45.8,4.4,358.0,96.2
ML-829DXE,icr070010,35,805,68,1.6,27.3,4.5,281.0,102.0
ML-8DQg6W,icr010555,10,5628,375,2.0,87.0,6.0,847.0,279.0
ML-8DQg6W,icr010556,35,3650,269,1.3,73.0,5.0,1190.0,435.0
ML-8KjW41,icr010375,10,5837,664,2.4,109.0,7.0,945.0,258.0
ML-8KjW41,icr010376,35,4041,612,1.6,81.0,6.0,1131.0,334.0
ML-AfDFgy,icr010435,10,3487,241,3.1,225.0,17.0,1026.0,413.0
ML-AfDFgy,icr010436,35,2590,158,1.5,148.0,21.0,1205.0,555.0
ML-AK28xc,icr070049,10,2749,292,5.1,72.2,5.8,581.0,135.0
ML-AK28xc,icr070050,35,1727,131,3.2,58.5,4.5,454.0,127.0
ML-BhGW9E,icr010985,10,11085,902,2.5,136.0,9.0,1184.0,354.0
ML-BhGW9E,icr010986,35,7103,915,0.4,59.0,6.0,932.0,254.0
ML-boasJc,icr010885,10,7918,717,4.2,79.0,10.0,818.0,166.0
ML-boasJc,icr010886,35,5005,641,0.9,100.0,7.0,1325.0,352.0
ML-cendf1,icr010925,10,18304,1351,4.6,222.0,7.0,1361.0,400.0
ML-cendf1,icr010926,35,7377,461,2.1,124.0,5.0,1144.0,409.0
ML-Cgf2Oq,icr010595,10,4866,317,2.6,99.0,6.0,938.0,281.0
ML-Cgf2Oq,icr010596,35,3880,255,2.2,81.0,10.0,1203.0,410.0
ML-dWxnvc,icr037699,10,5270,436,0.9,78.4,7.3,574.6,185.8
ML-dWxnvc,icr037700,35,2907,273,0.5,72.0,7.0,474.8,167.3
ML-eJ3wak,icr010945,10,5239,371,5.4,81.0,7.0,966.0,163.0
ML-eJ3wak,icr010946,35,4312,334,1.6,58.0,7.0,1148.0,246.0
ML-emtcD6,icr037574,10,4196,282,3.2,74.0,3.5,343.3,121.6
ML-emtcD6,icr037575,35,2259,161,5.9,50.3,4.1,172.8,98.0
ML-eS8rrF,icr010905,10,11929,977,1.9,206.0,10.0,1576.0,382.0
ML-eS8rrF,icr010906,35,8278,759,0.6,71.0,8.0,963.0,219.0
ML-f2T5J9,icr010535,10,6813,520,1.5,86.0,14.0,1176.0,490.0
ML-f2T5J9,icr010536,35,4056,314,0.5,64.0,329.0,2135.0,911.0
ML-FpkGbw,icr037675,10,14869,1026,1.5,40.3,6.2,220.8,60.9
ML-FpkGbw,icr037676,35,10801,904,2.1,31.5,5.6,187.3,47.6
ML-fqv0qA,icr069789,10,1454,75,2.7,29.3,2.1,325.0,109.0
ML-fqv0qA,icr069790,35,2206,124,3.1,32.3,1.7,363.0,93.5
ML-fVMmaO,icr069909,10,2163,136,3.9,72.5,4.8,455.0,116.0
ML-fVMmaO,icr069910,35,1472,76,2.4,36.3,3.8,377.0,127.0
ML-Ghatsp,icr010787,10,11272,890,4.3,124.0,26.0,1858.0,669.0
ML-Ghatsp,icr010788,35,5744,612,1.4,77.0,49.0,1798.0,841.0
ML-GlExXk,icr010808,10,9429,725,5.8,78.0,9.0,524.0,184.0
ML-GlExXk,icr010809,35,4937,641,1.9,48.0,6.0,248.0,112.0
ML-gXEyJf,icr069989,10,1890,113,4.2,55.0,4.5,382.0,85.2
ML-gXEyJf,icr069990,35,1287,69,3.6,25.0,4.5,261.0,68.2
ML-H31jow,icr069869,10,2067,163,2.5,62.2,2.1,471.0,143.0
ML-H31jow,icr069870,35,1696,95,2.0,50.2,2.9,421.0,165.0
ML-hila1i,icr010395,10,5311,301,3.7,142.0,21.0,2655.0,398.0
ML-hila1i,icr010396,35,6892,628,7.6,183.0,11.0,2233.0,370.0
ML-Inp6xu,icr010845,10,5876,271,4.9,68.0,7.0,592.0,177.0
ML-Inp6xu,icr010846,35,3944,385,2.8,50.0,7.0,380.0,141.0
ML-iooJMv,icr010515,10,3754,240,3.3,101.0,21.0,743.0,271.0
ML-iooJMv,icr010516,35,3118,269,1.9,130.0,11.0,871.0,334.0
ML-JlaThS,icr069889,10,1605,91,3.0,61.2,2.9,310.0,125.0
ML-JlaThS,icr069890,35,1706,89,2.7,61.5,2.9,421.0,144.0
ML-jmnnAS,icr037445,10,3943,269,3.0,51.3,4.0,239.5,100.5
ML-jmnnAS,icr037446,35,3771,266,1.6,53.2,6.1,287.1,142.9
ML-JQosUL,icr069849,10,1845,150,3.3,48.6,1.5,292.0,68.2
ML-JQosUL,icr069850,35,1073,92,2.7,36.0,1.9,373.0,87.4
ML-jTwGK2,icr010687,10,9257,704,2.3,116.0,6.0,1381.0,833.0
ML-jTwGK2,icr010688,35,6529,565,0.9,109.0,5.0,1360.0,990.0
ML-JubNmj,icr037620,10,2745,192,4.6,59.7,6.7,187.8,88.7
ML-JubNmj,icr037621,35,2259,180,1.4,37.0,8.0,259.3,140.3
ML-LdCdQf,icr069829,10,1693,107,2.5,33.5,1.7,277.0,75.7
ML-LdCdQf,icr069830,35,921,50,3.1,32.3,3.0,219.0,78.5
ML-llqds9,icr037531,10,2419,159,4.6,64.1,4.5,247.6,83.4
ML-llqds9,icr037532,35,1903,144,2.0,51.5,6.0,295.2,109.2
ML-M2MmQD,icr010615,10,6715,469,1.7,102.0,9.0,1051.0,560.0
ML-M2MmQD,icr010616,35,4338,277,0.5,65.0,421.0,1845.0,937.0
ML-mg4MFF,icr037491,10,5698,405,4.7,97.1,6.6,318.2,98.1
ML-mg4MFF,icr037492,35,4642,386,1.6,115.4,6.9,435.0,137.5
ML-N1by3s,icr070069,10,1635,110,4.5,63.5,4.5,402.0,100.0
ML-N1by3s,icr070070,35,1605,81,4.3,44.1,2.8,238.0,64.4
ML-njNz23,icr069969,10,1865,118,3.0,44.0,3.2,402.0,97.7
ML-njNz23,icr069970,35,1167,65,2.2,35.5,3.7,325.0,117.0
ML-Nkj8yT,icr070089,10,1891,141,3.4,46.1,3.1,355.0,85.7
ML-Nkj8yT,icr070090,35,1276,66,2.8,25.5,3.3,309.0,86.2
ML-NuU1d2,icr037590,10,11047,743,5.2,142.7,4.8,741.5,211.4
ML-NuU1d2,icr037591,35,8125,435,1.5,182.7,6.8,532.9,252.5
ML-nV7wo5,icr037626,10,3576,225,2.5,49.3,5.8,315.1,121.2
ML-nV7wo5,icr037627,35,2424,184,0.8,33.9,5.5,354.4,161.0
ML-PeAOrE,icr010475,10,6725,450,2.0,89.0,8.0,985.0,313.0
ML-PeAOrE,icr010476,35,2892,231,1.0,67.0,6.0,1249.0,452.0
ML-pjAhdO,icr010965,10,12209,1099,1.9,109.0,7.0,1352.0,337.0
ML-pjAhdO,icr010966,35,9183,989,0.7,60.0,5.0,912.0,188.0
ML-QejwIY,icr069949,10,1695,116,2.2,40.5,2.6,322.0,88.5
ML-QejwIY,icr069950,35,1104,52,2.1,26.1,3.6,294.0,104.0
ML-qsnpHw,icr070029,10,3789,245,7.8,69.5,4.2,647.0,127.0
ML-qsnpHw,icr070030,35,2411,166,6.8,52.5,4.8,564.0,129.0
ML-qUx3Pw,icr037511,10,4990,339,4.3,52.5,5.8,186.0,117.2
ML-qUx3Pw,icr037512,35,3629,210,1.8,44.5,4.9,98.3,73.1
ML-SbrRZq,icr010767,10,4734,511,4.3,101.0,10.0,623.0,170.0
ML-SbrRZq,icr010768,35,3514,500,1.4,58.0,8.0,621.0,207.0
ML-sf814v,icr037475,10,1838,144,2.6,20.0,3.5,142.8,82.1
ML-sf814v,icr037476,35,1391,108,1.7,21.6,2.3,111.7,79.3
ML-Sxi8dD,icr010415,10,4491,604,7.2,245.0,8.0,1771.0,767.0
ML-Sxi8dD,icr010416,35,3239,473,3.0,165.0,9.0,1854.0,747.0
ML-TAjAFb,icr010826,10,9063,791,3.5,87.0,9.0,1067.0,235.0
ML-TAjAFb,icr010827,35,3906,556,1.1,54.0,6.0,919.0,212.0
ML-tBktG3,icr069929,10,2300,140,3.2,64.7,3.2,384.0,108.0
ML-tBktG3,icr069930,35,1603,98,2.1,33.2,4.0,245.0,110.0
ML-tdOc1D,icr010575,10,3781,250,4.1,99.0,20.0,1248.0,401.0
ML-tdOc1D,icr010576,35,2341,199,1.8,81.0,9.0,1621.0,467.0
ML-umcobG,icr010635,10,4842,243,2.8,88.0,7.0,618.0,199.0
ML-umcobG,icr010636,35,4012,196,1.2,102.0,6.0,869.0,386.0
ML-uY5FB1,icr010455,10,7229,417,2.2,209.0,16.0,1624.0,589.0
ML-uY5FB1,icr010456,35,5202,323,0.5,108.0,17.0,1490.0,726.0
ML-vkLSVn,icr010707,10,9055,653,7.8,74.0,7.0,1770.0,306.0
ML-vkLSVn,icr010708,35,4763,477,2.7,63.0,8.0,1530.0,339.0
ML-wG9z9A,icr010495,10,4786,451,9.1,346.0,16.0,2630.0,505.0
ML-wG9z9A,icr010496,35,2738,201,2.4,106.0,7.0,4838.0,554.0
ML-X3bKk2,icr037417,10,5584,348,2.5,26.4,5.2,218.3,115.8
ML-X3bKk2,icr037418,35,3349,248,1.0,19.7,4.3,128.1,88.4
ML-XNghYI,icr010355,10,4864,686,2.2,170.0,7.0,1988.0,575.0
ML-XNghYI,icr010356,35,3582,623,0.8,145.0,7.0,2244.0,630.0
ML-y4mry8,icr037453,10,8338,587,6.2,82.8,5.2,496.7,132.7
ML-y4mry8,icr037454,35,4602,398,2.6,65.0,4.1,415.7,126.0
ML-z8yjuL,icr037689,10,11896,696,2.8,38.9,8.2,314.4,90.8
ML-z8yjuL,icr037690,35,11749,733,2.1,35.0,7.8,200.2,63.6
ML-zwylOH,icr037553,10,2419,136,3.6,23.3,3.3,190.1,76.8
ML-zwylOH,icr037554,35,1637,123,1.6,16.5,3.8,171.6,74.2
MW-9mS8hO,icr014708,10,12862,656,3.4,103.5,6.7,365.8,164.2
MW-9mS8hO,icr014709,35,8118,455,2.1,119.6,7.5,266.7,160.1
MW-9mV2yB,icr014548,10,23778,1756,60.4,151.8,8.1,1456.0,315.4
MW-9mV2yB,icr014549,35,14167,832,19.2,74.3,5.9,1250.0,277.4
MW-ay6znc,icr014628,10,8564,622,4.7,180.2,7.5,722.8,157.7
MW-ay6znc,icr014629,35,5121,301,1.4,172.5,5.6,576.9,154.2
MW-bfvmtT,icr014508,10,26900,2141,6.3,126.6,7.7,906.3,273.6
MW-bfvmtT,icr014509,35,12700,944,0.7,101.8,4.7,501.3,313.6
MW-BHv5dn,icr014488,10,30637,2849,5.0,125.5,12.6,1461.0,468.5
MW-BHv5dn,icr014489,35,15856,1183,1.3,53.0,8.2,1211.0,513.9
MW-cTJWDM,icr014608,10,12676,945,12.7,97.5,15.6,151.7,49.2
MW-cTJWDM,icr014609,35,7719,472,5.4,51.1,9.5,165.5,42.7
MW-EG3zKR,icr015043,10,12054,726,11.7,135.3,8.4,605.9,126.2
MW-EG3zKR,icr015044,35,12450,530,6.2,85.7,9.2,981.1,199.7
MW-Exz7TT,icr014468,10,10403,823,16.9,94.9,10.9,123.7,47.8
MW-Exz7TT,icr014469,35,5728,382,8.1,56.7,9.5,119.4,33.1
MW-FyuFlt,icr014963,10,4940,398,11.1,74.7,6.5,536.9,86.1
MW-FyuFlt,icr014964,35,3730,172,8.4,37.2,5.4,475.3,75.3
MW-gSNk6K,icr014863,10,15210,909,66.0,78.2,16.0,2057.0,580.4
MW-gSNk6K,icr014864,35,12606,668,28.8,50.8,7.1,1943.0,568.5
MW-iW9eX6,icr014528,10,16658,1053,6.7,81.6,6.3,903.4,237.3
MW-iW9eX6,icr014529,35,13098,951,1.7,41.4,4.9,785.4,198.1
MW-iYWUbW,icr014763,10,5099,397,19.3,67.1,5.7,349.0,77.5
MW-iYWUbW,icr014764,35,4359,437,9.6,52.9,4.6,445.0,136.0
MW-J43ggT,icr014408,10,18960,1993,7.8,126.0,8.9,1396.0,263.4
MW-J43ggT,icr014409,35,7470,704,0.9,78.9,7.1,642.1,163.8
MW-JaBoE8,icr015003,10,6730,455,59.4,91.0,6.8,599.5,75.3
MW-JaBoE8,icr015004,35,14922,731,7.3,62.9,6.8,561.4,66.6
MW-kubCI6,icr014668,10,8912,645,4.4,197.4,6.6,463.9,169.7
MW-kubCI6,icr014669,35,3670,295,1.1,122.5,5.7,328.3,152.4
MW-ltpWGf,icr014743,10,4314,386,25.9,96.4,4.9,494.3,73.8
MW-ltpWGf,icr014744,35,2767,302,10.1,79.3,5.8,570.8,92.5
MW-m8Par2,icr014843,10,2704,143,31.7,29.5,3.9,260.5,43.8
MW-m8Par2,icr014844,35,1708,112,23.0,48.0,5.3,288.8,45.4
MW-MXqZYs,icr014448,10,24004,2251,41.2,242.7,7.3,567.1,228.5
MW-MXqZYs,icr014449,35,11133,835,39.6,122.0,7.3,380.5,151.5
MW-MYTAye,icr014883,10,18567,1012,8.0,417.0,11.4,1595.0,266.1
MW-MYTAye,icr014884,35,13718,996,2.3,251.1,7.6,1530.0,278.0
MW-psYvMX,icr014983,10,16460,814,9.4,79.0,6.7,1256.0,139.1
MW-psYvMX,icr014984,35,5242,344,9.6,88.2,8.4,1322.0,161.3
MW-pY3wlU,icr014823,10,8988,508,8.5,91.6,4.8,1355.0,215.6
MW-pY3wlU,icr014824,35,7466,437,5.6,90.4,6.0,1362.0,247.6
MW-QwyfrG,icr014428,10,9783,773,15.6,37.9,14.9,155.0,34.9
MW-QwyfrG,icr014429,35,8631,533,7.9,25.7,21.4,145.9,27.7
MW-ShdmeA,icr015023,10,6311,398,35.2,141.6,6.1,1710.0,347.9
MW-ShdmeA,icr015024,35,4428,257,9.3,84.7,5.4,1851.0,425.5
MW-sZQPID,icr014803,10,7047,412,17.3,95.3,4.6,870.6,199.4
MW-sZQPID,icr014804,35,8146,542,6.2,74.6,15.2,1064.0,641.6
MW-tPUetC,icr014943,10,7677,482,43.1,121.5,6.5,523.3,113.4
MW-tPUetC,icr014944,35,5345,342,32.1,78.9,7.5,770.3,182.8
MW-TX4nIW,icr014648,10,13417,906,6.0,98.4,12.6,117.9,34.8
MW-TX4nIW,icr014649,35,6224,334,2.0,67.9,21.8,119.3,31.3
MW-VmR4gg,icr014783,10,2873,235,10.4,38.4,4.3,362.7,55.1
MW-VmR4gg,icr014784,35,2123,233,4.0,45.4,4.9,678.0,120.9
MW-W6CL4O,icr014903,10,7329,439,24.4,74.5,4.7,1527.0,145.6
MW-W6CL4O,icr014904,35,6636,356,11.6,53.6,4.9,1521.0,162.4
MW-wgQUU0,icr014688,10,3638,258,5.1,235.3,17.6,559.0,166.1
MW-wgQUU0,icr014689,35,2351,184,1.1,167.9,9.7,437.7,179.2
MW-XMkaUK,icr014923,10,9003,545,52.6,159.2,5.2,1117.0,211.5
MW-XMkaUK,icr014924,35,6788,452,23.3,82.9,5.7,948.1,237.9
MW-yGIxkJ,icr014588,10,4745,307,3.4,93.7,6.5,277.7,105.5
MW-yGIxkJ,icr014589,35,9651,486,13.5,158.9,6.7,428.6,128.7
MW-ze1PiZ,icr014568,10,7733,552,10.2,231.1,6.7,381.0,215.2
MW-ze1PiZ,icr014569,35,3726,276,2.1,112.4,5.3,288.2,170.8
MZ-0882HB,icr050034,10,3803,207,17.9,26.6,5.3,112.0,35.9
MZ-0882HB,icr050035,35,1728,70,14.7,24.0,6.0,43.2,19.3
MZ-0mw4db,icr049277,10,6669,434,7.7,56.9,2.3,578.0,72.3
MZ-0mw4db,icr049278,35,2620,235,3.0,50.6,2.4,348.0,64.0
MZ-0Va6yX,icr023195,10,12489,546,116.5,124.0,7.0,560.0,175.0
MZ-1XM7GP,icr049815,10,3213,156,62.2,28.5,6.2,414.0,61.6
MZ-1XM7GP,icr049816,35,1239,87,14.6,34.0,2.8,128.0,48.8
MZ-2s9acc,icr023613,10,4459,307,7.7,69.0,4.0,729.0,99.0
MZ-2s9acc,icr023614,35,2571,191,5.5,53.0,5.0,716.0,93.0
MZ-3qukBE,icr049197,10,4318,281,8.4,64.7,3.6,286.0,54.3
MZ-3qukBE,icr049198,35,2244,140,4.1,44.5,2.8,109.0,30.2
MZ-5i62KU,icr023273,10,10366,602,69.6,168.0,9.0,775.0,236.0
MZ-5i62KU,icr023274,35,5670,354,20.3,245.0,9.0,592.0,192.0
MZ-72OFPF,icr050394,10,5401,375,7.2,34.6,2.8,284.0,55.9
MZ-72OFPF,icr050395,35,2254,177,4.9,37.3,3.6,193.0,52.5
MZ-7z4HE3,icr050094,10,4405,242,10.5,26.8,6.3,169.0,45.0
MZ-7z4HE3,icr050095,35,1213,102,5.5,33.6,5.6,107.0,42.8
MZ-89EzuF,icr050054,10,3956,248,20.1,38.2,6.0,151.0,54.2
MZ-89EzuF,icr050055,35,1557,131,14.1,29.2,5.2,92.9,46.5
MZ-8BMzyC,icr049954,10,4282,253,13.4,46.5,6.1,87.0,42.7
MZ-8BMzyC,icr049955,35,2518,133,5.6,55.3,4.6,68.5,31.8
MZ-9e4Anl,icr023573,10,6450,439,13.8,89.0,6.0,1006.0,117.0
MZ-9e4Anl,icr023574,35,4954,326,5.0,99.0,5.0,851.0,99.0
MZ-9oVcd3,icr023692,10,8017,573,8.7,136.0,8.0,750.0,121.0
MZ-9oVcd3,icr023693,35,3355,252,6.2,140.0,8.0,482.0,96.0
MZ-A8gqiV,icr023136,10,7920,370,62.5,50.0,5.0,515.0,107.0
MZ-A8gqiV,icr023137,35,2672,159,39.4,45.0,5.0,269.0,89.0
MZ-AGAB5R,icr049516,10,3907,276,56.4,37.6,5.8,283.0,94.5
MZ-AGAB5R,icr049517,35,3115,248,43.4,33.7,5.4,246.0,89.4
MZ-AlGorE,icr049536,10,1299,136,4.5,10.4,2.9,278.0,59.7
MZ-AlGorE,icr049537,35,3678,282,10.8,30.2,4.7,331.0,62.1
MZ-aQP0Fr,icr023553,10,4853,373,8.8,86.0,5.0,351.0,108.0
MZ-aQP0Fr,icr023554,35,2673,211,7.2,99.0,7.0,354.0,81.0
MZ-aRmExs,icr049397,10,1482,107,3.6,5.5,3.5,156.0,16.5
MZ-aRmExs,icr049398,35,4683,320,12.2,28.9,6.9,581.0,76.6
MZ-Blm85v,icr049377,10,6793,478,30.2,50.9,6.6,781.0,78.6
MZ-Blm85v,icr049378,35,2209,142,4.3,41.7,4.7,273.0,43.2
MZ-c4y9ia,icr049715,10,5878,440,71.0,120.0,5.7,931.0,306.0
MZ-c4y9ia,icr049716,35,4538,275,22.3,60.3,4.5,595.0,257.0
MZ-c9CoXR,icr049417,10,5064,273,10.6,23.8,6.3,238.0,45.8
MZ-c9CoXR,icr049418,35,1676,126,3.0,4.2,5.3,99.2,28.0
MZ-cDmZ4V,icr050234,10,13155,774,145.0,183.0,6.4,1480.0,313.0
MZ-cDmZ4V,icr050235,35,9087,591,149.0,104.0,6.1,1280.0,317.0
MZ-CITpeV,icr023473,10,4391,338,7.6,85.0,6.0,247.0,74.0
MZ-CITpeV,icr023474,35,3225,179,5.1,78.0,5.0,207.0,63.0
MZ-cP8u5G,icr049655,10,59099,3478,13.1,1970.0,2320.0,990.0,3750.0
MZ-cP8u5G,icr049656,35,22572,1483,7.6,1750.0,2250.0,1070.0,2600.0
MZ-DJx8II,icr050254,10,7000,451,12.3,92.0,3.8,627.0,127.0
MZ-DJx8II,icr050255,35,3571,291,4.6,61.0,5.6,432.0,119.0
MZ-dxbeOl,icr049556,10,34317,3695,38.0,711.0,276.0,2110.0,1680.0
MZ-dxbeOl,icr049557,35,6149,623,13.6,737.0,443.0,2590.0,2010.0
MZ-dXq315,icr050434,10,9650,686,1.1,26.0,5.4,565.0,319.0
MZ-dXq315,icr050435,35,9183,568,1.1,25.1,5.2,653.0,301.0
MZ-dzdYNT,icr049496,10,7192,536,8.4,24.8,6.5,907.0,208.0
MZ-dzdYNT,icr049497,35,3637,252,6.3,18.8,4.0,979.0,186.0
MZ-dZY5c8,icr023633,10,7449,465,6.0,107.0,7.0,1177.0,159.0
MZ-dZY5c8,icr023634,35,5432,354,4.8,141.0,8.0,1730.0,228.0
MZ-E9ThN7,icr023433,10,4883,290,7.4,66.0,4.0,376.0,84.0
MZ-E9ThN7,icr023434,35,2650,194,5.4,71.0,4.0,294.0,71.0
MZ-EGSE9n,icr050274,10,4551,282,3.5,59.3,4.6,464.0,123.0
MZ-EGSE9n,icr050275,35,3425,275,2.0,36.2,4.7,435.0,164.0
