SSN,Al,B,Cu,Fe,Mn,Zn
icr048770,399,0.21,3.56,65.3,89.9,0.44
icr048771,359,0.3,4.35,57.7,83,0.32
icr048786,658,0.45,3.64,79.4,184,0.6
icr048787,721,0.4,3.83,74.7,216,3.13
icr048793,410,0.001,1.05,47.3,59.2,0.001
icr048794,433,0.28,2.3,50.9,73.2,0.35
icr048820,547,0.93,3.33,50.9,144,0.59
icr048821,302,1.09,3.76,28.6,99.8,0.55
icr048824,373,0.51,1.72,49.8,80.2,0.61
icr048825,16.3,0.52,0.94,7.18,14.5,0.27
icr048837,316,0.35,2.02,70,79.9,1.01
icr048838,293,0.31,2.06,55,83.4,0.52
icr048854,467,0.24,1.91,60.1,116,0.85
icr048855,614,0.36,2.34,68.9,128,0.47
icr048868,406,0.001,3.37,77.9,89.7,0.32
icr048869,366,0.26,3.93,62.8,92.5,0.3
icr048886,380,0.24,2.8,60.1,81.3,0.53
icr048887,367,0.39,3.29,62,85.1,0.44
icr048899,524,1.2,3.06,52,153,1.59
icr048900,282,0.83,2.22,29,107,1.53
icr048912,504,0.001,3.32,80.5,120,0.56
icr048913,526,0.29,4.3,80.9,140,0.38
icr048931,360,0.73,2.96,42.6,125,0.77
icr048932,34,0.47,2.02,10.9,18.7,0.44
icr048942,481,0.001,2.7,67.6,82.9,0.33
icr048943,434,0.001,2.93,63,86.2,0.38
icr048960,479,0.52,2.1,55.1,100,1.12
icr048961,351,0.73,2.15,30.4,89.8,1.14
icr048977,145,0.36,1.16,47.1,111,0.58
icr048978,194,0.34,0.62,59.6,88.4,0.41
icr048985,255,0.55,1.53,32.5,184,0.72
icr048986,391,0.22,0.96,156,144,0.72
icr048992,8.71,0.41,0.55,8.74,11.3,0.47
icr048993,5.76,0.44,0.001,9.16,4.33,0.36
icr049013,402,0.72,2.23,59.9,146,1.83
icr049014,409,0.72,2.68,67.7,160,0.89
icr049022,326,1.51,3.05,69.8,233,2.43
icr049023,164,1.51,2.04,50.9,135,1.96
icr049044,326,1.76,3,45.9,103,2.2
icr049045,3,0.82,0.58,1.26,4.88,0.44
icr049056,38.8,0.48,1.03,10.1,39.8,0.62
icr049057,15.4,0.3,0.58,6.72,24,1.04
icr049068,498,0.36,2.22,78.6,153,1.95
icr049069,414,0.38,2.43,59.5,151,1.64
icr049074,394,0.001,0.93,56.5,59.9,1
icr049075,317,0.46,1.12,48.5,64,1.31
icr049098,560,0.36,2.38,73.5,177,5.4
icr049099,442,0.39,2.26,55.2,133,0.85
icr049100,373,0.33,0.98,58.3,79.8,1.67
icr049101,330,0.39,0.97,52.3,80.7,0.82
icr049115,458,0.001,1.44,68.9,106,1.22
icr049116,548,0.33,1.76,61.8,135,0.68
icr049130,382,0.54,1.65,60.8,110,1.93
icr049131,407,0.25,2.32,81.3,141,1.57
icr049152,419,0.8,1.19,64.1,90.5,3.4
icr049153,219,1.24,1.1,34.6,80.5,1.3
icr049156,460,0.5,1.34,74.3,115,1.66
icr049157,403,0.55,2.26,57.5,124,1.67
icr049174,486,0.41,2.1,67.3,153,1.17
icr049175,455,0.62,2.18,60.7,138,1.04
icr049177,428,1.07,1.29,39.5,159,4.23
icr049178,407,0.85,1.29,49.8,123,1.96
icr049197,396,0.001,0.37,49.1,117,1.28
icr049198,483,0.001,0.34,62.6,64.1,0.54
icr049217,348,0.001,0.25,41.1,98.6,1.13
icr049218,441,0.24,0.34,40.1,49.4,0.87
icr049237,440,0.37,0.43,35.6,179,0.47
icr049238,479,0.27,0.37,43,137,0.54
icr049257,142,0.22,0.26,31,16.3,1.28
icr049258,106,0.001,0.001,36.7,3.07,0.45
icr049277,392,0.31,0.66,40.4,170,1.45
icr049278,474,0.23,1.02,39.9,113,0.53
icr049297,342,0.26,0.45,33.8,176,0.89
icr049298,376,0.001,0.29,37,135,0.47
icr049317,318,0.24,0.47,35,206,1.22
icr049318,422,0.001,0.42,40.1,161,0.32
icr049337,464,0.001,0.48,37.2,158,1.29
icr049338,467,0.001,0.38,32.9,72.5,0.75
icr049357,343,0.001,0.32,38.2,141,1.22
icr049358,433,0.001,0.36,36,88.1,0.36
icr049377,418,0.41,0.55,37.8,204,1.57
icr049378,414,0.001,0.29,35,102,0.31
icr049397,189,0.001,0.001,29.4,42,0.37
icr049398,232,0.001,0.37,32.1,149,2.06
icr049417,308,0.001,0.24,37.9,115,1.64
icr049418,398,0.001,0.36,33.8,56.4,0.48
icr049437,226,0.001,0.28,88.2,201,0.75
icr049438,252,0.001,0.2,40.4,51.8,0.41
icr049457,534,0.33,0.68,44.4,253,1.26
icr049458,550,0.001,0.73,46,214,0.57
icr049477,431,0.001,0.72,50.1,301,1.53
icr049478,449,0.001,0.88,44.5,212,0.79
icr049496,409,0.87,0.43,114,16.2,0.75
icr049497,284,0.47,0.23,81.8,13.3,0.41
icr049516,397,0.001,0.27,106,5.82,1.19
icr049517,496,0.001,0.22,101,3.79,0.83
icr049536,374,0.001,0.2,58.3,12,0.95
icr049537,530,0.001,0.36,119,12.3,1.42
icr049556,1140,1.71,2.36,179,11.5,2.73
icr049557,771,3.5,2.64,91.8,127,0.91
icr049576,667,0.001,0.001,212,5.25,1.17
icr049577,818,0.001,0.21,159,1.81,0.53
icr049596,348,0.001,0.24,154,2.69,0.95
icr049597,254,0.001,0.34,116,1.7,0.98
icr049616,328,0.001,0.43,67.5,64,0.7
icr049617,469,0.001,0.42,52.4,94,0.93
icr049635,359,0.001,0.99,96,90.4,3.82
icr049636,371,0.001,0.86,90.2,66.7,2.15
icr049655,357,9.74,1.36,261,9.81,3.87
icr049656,691,8.01,2.75,291,9.32,6.55
icr049675,469,0.001,0.58,159,33.6,0.67
icr049676,454,0.29,0.27,60.9,31.4,1.01
icr049695,915,0.001,1.21,343,3.55,1.06
icr049696,904,0.001,1.46,245,5.62,0.86
icr049715,363,0.25,0.82,132,97.3,2.25
icr049716,399,0.001,0.56,121,62,1.07
icr049735,708,9.02,1.91,258,3.9,4.75
icr049736,763,6.23,2.39,236,2.89,4.66
icr049755,875,6.76,0.001,568,8.81,11.3
icr049756,619,8.8,3.07,187,2.35,2.2
icr049775,379,0.59,0.28,98.4,6.44,1.05
icr049776,354,0.47,0.37,79,11.1,1.5
icr049795,380,0.001,0.26,289,7.37,0.47
icr049796,301,0.001,0.31,193,1.87,0.87
icr049815,153,0.001,0.22,30.5,24.2,12.6
icr049816,190,0.001,0.001,34,2,0.39
icr049835,252,0.001,0.001,36.2,33.5,0.73
icr049836,356,0.001,0.001,44.3,4.33,2
icr049855,87.3,0.97,0.001,143,47,0.8
icr049856,115,1.19,0.32,104,33.7,1.42
icr049875,81.2,0.001,0.001,19.6,25.3,1.13
icr049876,60.9,0.001,0.001,12.4,1.52,0.69
icr049894,176,0.001,0.001,35,30.9,1.1
icr049895,184,0.001,0.001,41.3,7.06,0.79
icr049914,218,0.001,0.001,41,47.4,0.63
icr049915,347,0.001,0.001,54.8,3.98,0.55
icr049934,78.4,0.001,0.001,72,3.86,0.43
icr049935,79.6,0.001,0.001,62.6,0.57,0.61
icr049954,198,0.001,0.001,31.3,14.3,1.13
icr049955,254,0.21,0.001,32.4,3.68,0.45
icr049974,160,0.001,0.001,30.6,24.3,0.77
icr049975,204,0.001,0.001,40.7,7.95,0.67
icr049994,149,0.001,0.001,32.4,52.6,0.48
icr049995,185,0.001,0.001,29.9,4.28,0.4
icr050014,231,0.001,0.001,32.6,37.9,0.65
icr050015,338,0.001,0.001,48,16.7,0.87
icr050034,213,0.001,0.001,40.4,16.3,8.42
icr050035,244,0.001,0.001,46,2.46,0.34
icr050054,154,0.001,0.001,30.5,42,0.6
icr050055,166,0.001,0.001,29.7,12.4,0.62
icr050074,209,0.001,0.001,48.8,16.1,0.59
icr050075,269,0.001,0.001,48.4,8.16,0.58
icr050094,176,0.001,0.001,29,35.3,0.96
icr050095,304,0.22,0.001,46.7,3.65,0.8
icr050114,301,0.001,0.001,41.6,16.9,0.81
icr050115,464,0.001,0.001,49.3,1.98,0.8
icr050134,716,0.64,4.02,147,83.1,1.87
icr050135,752,0.44,3.81,123,72.5,0.91
icr050154,717,0.74,2.86,177,83.2,2.47
icr050155,795,0.49,3.21,202,69.1,1.01
icr050174,764,0.21,3.66,183,80.9,1.89
icr050175,953,0.001,4.19,173,40.7,0.91
icr050194,532,0.001,0.67,73.5,41.2,0.36
icr050195,664,0.001,0.7,82.4,15.2,0.001
icr050214,520,0.001,0.28,98,3.95,0.43
icr050215,777,0.001,0.65,72.2,1.6,1.3
icr050234,983,0.001,1.29,220,21.5,0.73
icr050235,1180,0.001,1.46,205,20.7,0.34
icr050254,584,0.001,0.68,56.9,97.6,1.56
icr050255,674,0.001,0.71,43.6,67.4,7.09
icr050274,589,0.001,0.35,61.7,68.7,0.42
icr050275,745,0.001,0.24,57.4,37.2,0.38
icr050294,898,0.35,5.56,114,79,0.54
icr050295,1000,0.65,5.96,88.9,120,0.49
icr050314,297,0.001,0.45,91.9,41.6,0.51
icr050315,303,0.001,0.26,71.8,10.5,0.34
icr050334,208,0.001,0.001,44.6,41.8,0.69
icr050335,224,0.001,0.47,57.3,74.6,1.08
icr050354,551,0.29,4.97,83,180,1.31
icr050355,702,0.27,5.56,76.8,122,0.42
icr050374,526,0.001,1.41,48.4,52.5,0.53
icr050375,648,0.001,1.33,48.3,22.6,0.37
icr050394,239,0.001,0.001,57.7,9.72,0.33
icr050395,248,0.001,0.001,40.6,4.97,0.43
icr050414,520,0.21,0.66,45.7,139,0.53
icr050415,592,0.001,0.57,40.9,112,0.48
icr050434,865,0.33,4.31,110,67.3,0.27
icr050435,933,0.23,4.58,103,69.1,1
icr054165,807,0.48,5.96,190,385,8.65
icr054166,805,0.24,5.75,149,552,5.63
icr054183,939,0.001,4,154,469,1.02
icr054184,923,0.001,3.64,145,413,1.04
icr054201,775,0.001,0.36,782,383,3.23
icr054202,638,0.001,2.31,311,59.9,1.5
icr054220,646,0.001,1.16,509,46.6,11.3
icr054221,507,0.001,0.001,981,32.2,1.36
icr054238,928,0.001,5.21,328,584,4.23
icr054239,1070,0.001,4.04,164,388,1.22
icr054258,606,0.65,4.03,141,383,4.83
icr054259,792,0.001,4.39,166,397,3.06
icr054277,781,0.001,1.4,494,30.7,6.59
icr054278,692,0.001,1.59,300,11.7,1.35
icr054293,764,0.001,0.001,648,144,2.55
icr054294,471,0.001,1.38,486,36.6,1.29
icr054313,859,0.55,4.88,175,381,3.58
icr054314,952,0.28,5.25,123,580,1.55
icr054333,688,0.83,4.68,174,362,4.12
icr054334,852,0.35,5.52,193,377,2.31
icr054344,742,0.55,2.63,248,318,1.95
icr054345,938,0.001,2.8,143,241,0.95
icr054360,950,0.5,2.14,330,134,8.23
icr054361,518,0.28,1.58,258,103,6.4
icr054374,1010,0.001,2.78,189,223,6.11
icr054375,1110,0.001,2.78,203,249,3.71
icr054387,921,0.24,3.28,136,359,3.75
icr054388,1010,0.001,3.65,156,401,11.5
icr054410,797,0.72,5.2,118,461,7.04
icr054411,916,0.34,5.87,137,457,4.7
icr054418,721,0.92,3.72,112,429,5.8
icr054419,990,0.001,4.41,153,367,3.98
icr054437,868,0.46,2.45,95.3,260,1.97
icr054438,1080,0.001,2.21,109,228,0.37
icr054456,902,0.001,3.2,131,125,2.16
icr054457,1340,0.001,4.33,113,165,4.12
icr054469,1190,0.24,2.78,119,98,3.61
icr054470,1240,0.001,3.29,115,71.2,2.21
icr054482,908,0.64,2.76,107,164,4.53
icr054483,946,0.34,2.79,90,99.7,2.81
icr054504,1200,0.44,2.26,122,247,2.82
icr054505,1380,0.28,2.77,154,148,1.53
icr054515,905,1.01,3.33,83.9,306,2.85
icr054516,1110,0.99,4.17,72.8,273,0.51
icr054529,988,0.65,4.02,98.4,196,4.96
icr054530,1200,0.38,4.37,151,206,2.81
icr054550,1230,0.3,3.21,183,243,4.75
icr054551,1250,0.001,2.98,142,133,2.6
icr054564,1050,0.26,3.53,89.9,650,5.19
icr054565,1060,0.001,3.23,130,450,2.71
icr054585,774,0.71,3.06,71.7,358,5.88
icr054586,1000,0.3,3.61,93.4,327,2.92
icr054606,912,0.46,2.06,88.1,253,2.16
icr054607,919,0.34,2.1,81,284,1.05
icr054618,946,0.67,3.21,84.3,145,1.06
icr054619,1180,0.33,3.66,141,159,0.22
icr054641,849,0.47,3.23,75.3,139,0.45
icr054642,1040,0.51,3.58,84.9,197,7.15
icr054656,971,0.78,3.28,113,470,1.02
icr054657,1170,0.37,3.03,87.9,342,0.52
icr054676,1070,0.4,3.27,307,222,8.72
icr054677,1330,0.001,2.86,115,45.1,2.19
icr054697,933,0.54,3.15,90.9,163,0.59
icr054698,948,0.48,3.47,89.6,156,0.6
icr055563,646,0.001,0.22,107,32.6,0.47
icr055564,750,0.001,0.27,94.7,8.76,0.67
icr055583,596,0.001,0.29,149,13.7,0.7
icr055584,558,0.001,0.35,107,9.06,0.74
icr055603,553,0.001,0.21,93.8,15.9,0.62
icr055604,735,0.001,0.27,65.7,3.7,0.97
icr055623,528,0.001,0.32,85.6,28.8,3.27
icr055624,646,0.001,0.38,64.3,10,1
icr055643,621,0.001,0.23,100,4.08,1.1
icr055663,597,0.001,0.32,128,25.5,1.71
icr055664,702,0.001,0.22,91.3,3.52,0.81
icr055683,556,0.001,0.31,319,3.12,0.72
icr055684,703,0.001,0.37,158,1.57,0.57
icr055703,681,0.001,0.76,375,9.62,1.03
icr055704,686,0.001,0.9,220,3.57,0.42
icr055723,681,0.001,0.38,115,4.03,0.81
icr055724,800,0.001,0.74,160,4,2.17
icr055742,790,0.001,0.52,194,2.28,0.92
icr055743,1060,0.001,0.64,128,1.05,0.61
icr055762,647,0.001,0.001,93.1,5.95,1.31
icr055763,808,0.001,0.001,65.9,1.55,1.07
icr055782,454,0.001,0.001,243,24.1,0.65
icr055783,745,0.001,0.001,70.4,2.78,0.72
icr055802,636,0.001,0.001,234,2.81,0.57
icr055803,690,0.001,0.001,152,1.75,0.98
icr055822,830,0.001,0.2,280,10.8,1.37
icr055823,1290,0.001,0.001,236,2.47,0.74
icr055842,559,0.001,0.001,118,10.6,0.37
icr055862,503,0.001,0.37,164,37.7,1.17
icr055863,734,0.001,0.41,77.6,5.66,0.59
icr055882,1130,0.001,23.7,68.5,34.7,1.27
icr055883,1270,0.001,8.58,57.7,29.5,1.38
icr055902,1240,0.001,20,73.6,21.8,2.1
icr055903,1300,0.001,8.66,54.3,21.3,0.98
icr055922,1020,0.001,19.3,122,19.3,5.65
icr055923,1180,0.001,10.9,85.7,8.26,1.96
icr055941,1030,0.001,15.7,77.9,89.4,1.02
icr055942,1260,0.001,6.81,63.6,74.4,0.83
icr055961,1380,0.001,8.37,69.8,44.4,2.4
icr055962,1380,0.001,2.85,45.5,33.9,1.07
icr055981,1110,0.001,7.44,74.3,33.8,0.79
icr055982,1190,0.001,2.33,54.7,41.7,1.02
icr056001,875,0.001,12.2,90.3,29.7,1.69
icr056002,1100,0.001,12.3,110,28.5,1.64
icr056021,1300,0.001,8.32,65.4,42.1,1.14
icr056022,1240,0.001,2.7,51.4,62.1,0.88
icr056041,1130,0.001,12.5,109,96.5,2.53
icr056042,1110,0.001,8.68,84.7,86.5,1.35
icr056061,1530,0.001,3.77,47.8,12.3,0.95
icr056062,1480,0.001,1.79,36.8,13.9,0.76
icr056082,1220,0.001,1.86,40.8,40.8,1.63
icr056101,1110,0.001,7.16,95.9,46.4,1.74
icr056102,1160,0.001,2.9,75.9,73.6,0.74
icr056121,923,0.001,7.63,107,41.4,1
icr056122,1000,0.001,5.29,109,32.1,1.48
icr056141,838,0.001,9.47,62.4,25.4,1.06
icr056142,1010,0.001,3.8,53,15.6,0.79
icr056161,812,0.001,8.14,63.1,33.5,1.44
icr056162,976,0.001,3.25,59.2,26.2,0.77
icr056181,1260,0.001,6.51,66.9,37.9,1.65
icr056182,1240,0.001,3.18,54.8,53.3,0.62
icr056200,544,0.66,2.25,83.5,86,1.31
icr056201,537,0.31,1.86,71.3,45.3,1.02
icr056220,514,0.001,0.46,46.2,30.8,0.51
icr056221,499,0.001,0.32,39.7,27.9,0.59
icr056240,636,0.001,0.93,59.9,47.2,0.82
icr056241,653,0.001,0.63,37.5,43.9,0.35
icr056260,592,0.001,0.78,45.5,11.3,0.75
icr056261,596,0.001,0.75,38.1,8.15,1
icr056280,683,0.001,8.79,55.6,5.79,0.58
icr056281,717,0.001,2.74,54.3,3.74,0.68
icr056300,458,0.001,0.34,51.4,9.82,0.76
icr056301,514,0.001,0.34,38.5,5.21,1.09
icr056320,642,0.001,2.35,81.5,26.9,1
icr056321,536,0.001,0.83,48.2,5.56,0.81
icr056340,1060,0.001,3.3,53.5,113,0.46
icr056341,1280,0.001,2.96,46.6,75.1,0.39
icr056360,702,0.26,1.49,114,66.4,1.02
icr056361,641,0.001,1.25,104,29.3,0.56
icr056380,563,0.001,0.64,63.3,15.4,1.58
icr056381,677,0.001,0.5,43,14.8,0.35
icr056400,508,0.001,0.21,145,19.5,1.12
icr056401,744,0.001,0.001,216,4.68,0.74
icr056420,465,0.001,1.2,77.7,113,1.74
icr056421,390,0.001,0.73,71.9,74.2,0.83
icr056440,704,0.001,0.001,85.5,119,1.02
icr056441,1880,0.52,0.44,172,97.5,4.04
icr056460,380,1.02,2.55,45.2,193,1.66
icr056461,419,0.67,2.78,71.7,240,1.75
icr056480,947,0.24,6.94,64.4,157,1.38
icr056481,1070,0.001,6.05,68.1,136,0.63
icr056500,582,0.001,1.14,95.2,99.7,0.84
icr056501,606,0.001,0.66,73.3,78.6,0.64
icr062134,783,0.22,1.68,185,165,1.93
icr062135,794,0.001,1.41,170,197,1.32
icr062155,1030,0.001,1.63,256,24.6,1.34
icr062156,965,0.001,1.03,194,11,0.47
icr062175,1170,0.001,1.01,347,8.06,1.41
icr062176,1190,0.001,0.74,206,4.63,1.01
icr062195,1390,0.001,0.37,421,3.54,1.56
icr062196,1410,0.001,0.22,302,1.83,0.73
icr062215,1080,0.21,1.21,161,9.51,2.5
icr062216,1030,0.001,0.93,151,7.55,0.81
icr062237,971,0.27,1.01,187,15.8,1.62
icr062238,1020,0.001,1.01,140,11,0.65
icr062255,1440,0.001,0.4,275,4.33,0.89
icr062256,1490,0.001,1.53,272,5.59,2.43
icr062275,890,0.39,4.2,179,266,4.92
icr062276,931,0.001,3.04,163,144,1.48
icr062294,1110,0.001,1.7,247,5.46,0.87
icr062295,1030,0.001,1.69,292,2.85,0.64
icr062314,1370,0.001,0.39,228,8.56,0.99
icr062315,1380,0.21,0.001,179,4.34,0.63
icr062334,1090,0.001,1.25,190,45.2,2.5
icr062335,1110,0.001,0.94,125,14.1,0.69
icr062353,1090,0.001,3.64,184,26.3,1.98
icr062354,1040,0.001,2.83,121,29.3,0.73
icr062373,985,0.001,0.78,212,15.6,0.9
icr062374,991,0.001,0.37,184,6.34,0.43
icr062395,1280,0.001,1.07,197,19.3,2.6
icr062396,1180,0.001,0.35,162,3.23,1.12
icr062413,1150,0.001,1.69,191,7.49,0.66
icr062414,1160,0.001,1.82,216,13,0.88
icr062433,957,0.001,0.89,167,36.2,1.12
icr062434,1180,0.001,0.9,119,5.73,0.67
icr068101,614,0.001,0.35,51.5,14,0.5
icr068102,558,0.001,0.35,39.3,23,0.7
icr068131,557,0.001,0.2,68.4,17.6,0.9
icr068132,672,0.001,0.23,71.2,27.1,0.5
icr068149,527,0.001,0.001,106,28.3,0.52
icr068150,714,0.001,0.001,127,43.8,0.6
icr068161,499,0.001,0.38,62.7,27.3,1.31
icr068162,642,0.001,0.53,75.4,37,0.69
icr068181,492,0.001,0.76,71.7,93.5,3.89
icr068182,531,0.001,0.74,74.7,96.4,2.35
icr068199,483,0.001,0.32,61.3,43.5,0.54
icr068200,552,0.001,0.22,56.2,27.6,0.51
icr068221,574,0.001,0.28,90,76,0.88
icr068222,534,0.001,0.22,81,64,0.37
icr068239,569,0.001,0.42,81.4,30.1,1.07
icr068240,702,0.001,0.57,66.4,29.6,0.6
icr068265,575,0.001,0.3,64.2,14.5,1.12
icr068266,720,0.001,0.24,86.4,17,0.43
icr068279,556,0.001,0.3,70.2,18.3,0.72
icr068280,466,0.001,0.28,69.7,22.8,0.55
icr068301,799,0.001,0.32,57.2,10,0.89
icr068302,1020,0.001,0.28,50.6,4.41,0.23
icr068321,924,0.001,0.62,99,39.8,1.35
icr068322,1000,0.001,0.71,85.9,31.6,0.88
icr068339,591,0.001,0.3,151,17.8,1.1
icr068340,777,0.001,0.3,98.7,19.3,1.12
icr068361,694,0.001,0.44,83.7,24,0.89
icr068362,957,0.001,0.45,75.2,22,0.74
icr068381,813,0.001,0.35,80.5,5.19,1.13
icr068382,775,0.001,0.37,88.7,4.78,1.53
icr068399,742,0.001,0.41,74,26.3,0.91
icr068400,971,0.001,0.36,54.3,12.3,0.42
icr068419,478,0.001,0.33,76.9,16.1,1.23
icr068420,763,0.001,0.34,60,6.82,1.15
icr068439,414,0.001,0.54,77.7,32.2,2.22
icr068440,625,0.001,0.84,70.4,61.6,0.64
icr068459,335,0.001,0.56,223,42.6,1.04
icr068460,409,0.001,0.64,98.5,25.1,1.88
icr068481,551,0.001,0.67,132,29.5,1.17
icr068482,496,0.001,0.63,161,32.7,0.52
icr068499,428,0.001,0.44,204,24.6,1.4
icr068500,452,0.001,0.47,102,28.1,1.16
icr068521,410,0.001,0.41,66,30.3,0.7
icr068522,464,0.001,0.56,54.7,28.6,0.53
icr068539,581,0.001,0.66,156,36.7,0.81
icr068540,757,0.001,0.66,103,22,0.21
icr068559,605,0.001,0.28,69.7,14.8,0.5
icr068560,583,0.001,0.38,67.5,10.3,0.001
icr068579,511,0.001,0.39,95.5,27.3,0.79
icr068580,660,0.001,0.67,75.7,7.36,1.43
icr068599,452,0.001,0.48,95.7,34,0.51
icr068600,557,0.001,0.52,74.7,19,0.56
icr068619,418,0.001,0.33,79,29,0.62
icr068639,521,0.001,0.52,152,13.9,1.2
icr068640,526,0.001,0.52,110,10.5,0.6
icr068662,345,0.001,0.33,63,32.6,3.33
icr068663,395,0.001,0.27,46.7,13,0.72
icr068677,335,0.37,0.56,57.7,29.6,2.37
icr068678,474,0.001,0.4,53.3,10.9,0.59
icr068697,507,0.001,0.56,140,33.6,1.06
icr068698,493,0.001,0.75,172,24,0.91
icr068717,385,0.001,0.84,175,59.3,1.21
icr068718,344,0.001,1.76,125,66.2,2.29
icr069789,395,0.001,0.22,65.5,24.8,1.07
icr069790,299,0.001,0.21,62,49.6,0.68
icr069809,255,0.001,0.28,49.6,38.2,1.82
icr069810,387,0.001,0.001,85.5,34.8,0.67
icr069829,333,0.001,0.001,45.2,24,0.93
icr069830,521,0.001,0.001,109,10.4,0.45
icr069849,219,0.001,0.22,39.7,23.6,0.72
icr069850,366,0.001,0.4,68.7,14.5,1.16
icr069869,339,0.001,0.35,74.7,51.2,1.14
icr069870,384,0.001,0.28,100,49.3,0.56
icr069889,388,0.001,0.001,70.5,40.6,0.69
icr069890,400,0.001,0.28,73.2,49.1,1.11
icr069909,303,0.001,0.7,54.2,37.6,1.08
icr069910,402,0.001,0.48,70.5,18,1.87
icr069929,321,0.001,0.39,41.7,45,0.96
icr069930,432,0.001,0.41,43.2,23,1.27
icr069949,268,0.001,0.28,36.7,46.3,0.62
icr069950,333,0.001,0.26,34.5,25.1,0.88
icr069969,262,0.001,0.26,34.8,50.7,1.08
icr069970,326,0.001,0.23,33.7,28.1,0.71
icr069989,311,0.001,0.31,37.1,39.2,0.69
icr069990,362,0.001,0.23,37.6,18.8,1.11
icr070009,262,0.001,0.27,47,39.6,0.49
icr070010,297,0.001,0.001,46.8,20.8,0.56
icr070029,320,0.001,0.63,65.7,96,1.9
icr070030,364,0.001,0.67,71.2,73.7,1.41
icr070049,269,0.001,0.5,56.1,51.2,1.52
icr070050,313,0.001,0.32,49.8,34.7,1.06
icr070069,365,0.001,0.3,32.8,24,0.71
icr070070,316,0.001,0.31,35.2,18.8,1.16
icr070089,317,0.001,0.34,37.5,38.1,1.04
icr070090,390,0.001,0.34,37.7,18.8,1.25
icr070112,1630,0.001,0.72,97.2,11.6,0.64
icr070113,1700,0.001,0.55,54,8.83,0.48
icr070124,773,0.001,1.38,184,195,4.79
icr070125,811,0.001,1.89,155,204,1.06
icr070142,483,0.001,0.52,87.5,253,0.61
icr070143,501,0.001,0.57,82.4,229,1.06
icr070164,549,0.001,0.85,339,135,1.7
icr070165,665,0.001,1.37,219,141,1.21
icr070193,553,0.001,0.24,142,58,2.33
icr070194,784,0.001,0.22,52.7,28.1,0.46
icr070202,411,0.001,0.36,52.8,85.7,0.6
icr070203,499,0.001,0.62,61.1,124,1.18
icr070246,574,0.001,0.79,96,319,3.08
icr070247,454,0.001,0.55,157,322,1.64
icr070262,334,0.001,0.4,52.3,223,3.35
icr070263,443,0.001,0.3,68.4,225,0.95
icr070276,522,0.001,0.6,183,132,0.8
icr070277,750,0.001,0.64,40.7,55.7,0.66
icr070288,311,0.001,0.68,91.7,37.5,3.29
icr070289,302,0.001,0.92,81.5,23.5,1.62
icr070308,435,0.001,0.44,205,155,1.34
icr070309,508,0.001,0.78,83.9,154,1.86
icr070328,279,0.001,0.21,36.7,87.7,0.49
icr070329,441,0.001,0.41,45.2,74,0.45
icr070348,393,0.001,0.24,41.6,79.7,1.17
icr070349,574,0.001,0.48,42.2,76.5,0.9
icr070370,338,0.001,1.24,73.2,34.1,3.74
icr070371,289,0.001,1.47,69.7,33.5,2.5
icr070386,358,0.001,0.001,50.2,120,1.13
icr072246,1270,0.001,0.56,182,23.1,1.03
icr072247,1140,0.001,0.55,155,4.08,0.57
icr072266,1020,0.001,0.57,197,8.5,1.92
icr072267,1080,0.001,0.61,167,1.73,0.64
icr072286,877,0.001,0.45,202,6.86,1
icr072287,904,0.001,0.52,167,1.96,0.81
icr072306,1630,0.001,0.36,104,20.3,2.25
icr072307,1650,0.001,0.001,71.9,3.83,0.72
icr072325,1030,0.001,0.001,149,9.08,1.07
icr072326,841,0.001,0.001,115,2.6,0.96
icr072345,1570,0.001,0.43,125,7.91,0.88
icr072346,1610,0.001,0.28,106,1.78,0.52
icr072365,1600,0.058,0.49,127,22.3,0.83
icr072366,1670,0.001,0.45,114,3.37,0.67
icr072385,912,0.001,0.001,131,23.1,0.8
icr072386,964,0.001,0.001,140,5.58,1.65
icr072405,953,0.001,0.34,158,32.6,1.06
icr072406,970,0.001,0.2,146,7.17,0.44
icr072425,1130,0.001,0.5,136,8.6,0.69
icr072426,1180,0.001,0.57,130,1.77,0.54
icr072445,1130,0.001,0.001,176,31.1,1.56
icr072446,1100,0.001,0.001,158,5.37,1.09
icr072465,1760,0.068,1.06,80.9,6.41,0.87
icr072466,1670,0.1,1.31,98.5,36.2,0.81
icr072485,1320,0.001,0.22,158,7.08,1.17
icr072486,1390,0.001,0.001,133,1.32,0.99
icr072505,1600,0.057,0.33,121,23.3,0.88
icr072506,1680,0.001,0.001,87,3.18,0.63
icr072525,1330,0.001,0.4,194,16.8,1.73
icr072526,1330,0.001,0.24,161,4.83,1.56
icr072544,1760,0.001,0.001,434,35.6,2.12
icr072545,1160,0.001,0.24,554,16.5,1.13
icr072596,355,0.19,0.21,50.5,58.7,1.03
icr072597,443,0.17,0.001,42.8,36.1,0.84
icr072616,421,0.001,0.001,66.5,85.7,1.23
icr072617,624,0.029,0.001,61.6,39.1,0.44
icr072636,414,0.029,0.001,55.5,56.2,0.56
icr072637,510,0.001,0.001,44.1,39.1,0.87
icr072656,444,0.001,0.001,130,48.2,1.16
icr072657,537,0.033,0.001,90.5,30,0.99
icr072676,346,0.11,0.32,49.7,52,0.98
icr072677,425,0.041,0.001,43.2,43,0.53
icr072696,331,0.001,0.51,39,43.1,1.62
icr072697,438,0.001,0.001,52.7,27.5,0.5
